region,name
Lahti,Lahti_30_F_Mst_L
Bolg,Bolg_AZ_roller
Bolg,Bolg_AZ_roller_climb
Bolg,Bolg_AZ_run
Bolg,Bolg_AZ_run_walk_long
Bolg,Bolg_AZ__nordwalk
Drammen,"Drammen_1,2_C_Sp_L"
Holmenkollen,Holmenkollen_30_C_Mst_L2017-03-12.gpx
Lahti,"Lahti_1,3_C_TSp_L"
Lahti,"Lahti_1,4_C_Sp_L"
Lahti,Lahti_10_C_Ind_L
Lahti,Lahti_15_Skiathlon_L
Lahti,"Lahti_5_C_Relay_L_2,5kmx2_Class"
Lahti,"Lahti_5_C_Relay_L_2,5kmx2_Free"
Nor,Nor_LiHam_AZ_roller_climb
Otepa,Otepa_AZ_cross_race
Otepa,Otepa_AZ_imit
Otepa,Otepa_AZ_roller_1
Otepa,Otepa_AZ_roller
PyeongChang,"PyeongChang_1,4_C_Sp_L"
PyeongChang,"PyeongChang_1,4_C_TSp_L"
PyeongChang,PyeongChang_15_Skiathlon_L
St-Pete,St-Pete_AZ_imit
St-Pete,St-Pete_AZ_roller
